Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, MACROREGIUNEA DOI, Anul 2013, Mii persoane, 2365
Total, MACROREGIUNEA DOI, Anul 2014, Mii persoane, 2322.7
Total, MACROREGIUNEA DOI, Anul 2015, Mii persoane, 2265.1
Total, MACROREGIUNEA DOI, Anul 2016, Mii persoane, 2207
Total, MACROREGIUNEA DOI, Anul 2017, Mii persoane, 2196.7
Total, Regiunea NORD-EST, Anul 1990, Mii persoane, 1719.2
Total, Regiunea NORD-EST, Anul 1991, Mii persoane, 1763.1
Total, Regiunea NORD-EST, Anul 1992, Mii persoane, 1812.2
Total, Regiunea NORD-EST, Anul 1993, Mii persoane, 1813.8
Total, Regiunea NORD-EST, Anul 1994, Mii persoane, 1850.6
Total, Regiunea NORD-EST, Anul 1995, Mii persoane, 1733.4
Total, Regiunea NORD-EST, Anul 1996, Mii persoane, 1673.6
Total, Regiunea NORD-EST, Anul 1997, Mii persoane, 1644.6
Total, Regiunea NORD-EST, Anul 1998, Mii persoane, 1635.3
Total, Regiunea NORD-EST, Anul 1999, Mii persoane, 1626.2
Total, Regiunea NORD-EST, Anul 2000, Mii persoane, 1622.7
Total, Regiunea NORD-EST, Anul 2001, Mii persoane, 1568
Total, Regiunea NORD-EST, Anul 2002, Mii persoane, 1467.7
Total, Regiunea NORD-EST, Anul 2003, Mii persoane, 1418.2
Total, Regiunea NORD-EST, Anul 2004, Mii persoane, 1359.5
Total, Regiunea NORD-EST, Anul 2005, Mii persoane, 1357.9
Total, Regiunea NORD-EST, Anul 2006, Mii persoane, 1329.1
Total, Regiunea NORD-EST, Anul 2007, Mii persoane, 1329.5
Total, Regiunea NORD-EST, Anul 2008, Mii persoane, 1319.4
Total, Regiunea NORD-EST, Anul 2009, Mii persoane, 1322.2
Total, Regiunea NORD-EST, Anul 2010, Mii persoane, 1309.5
Total, Regiunea NORD-EST, Anul 2011, Mii persoane, 1266
Total, Regiunea NORD-EST, Anul 2012, Mii persoane, 1302.9
Total, Regiunea NORD-EST, Anul 2013, Mii persoane, 1289
Total, Regiunea NORD-EST, Anul 2014, Mii persoane, 1263.1
Total, Regiunea NORD-EST, Anul 2015, Mii persoane, 1227.2
Total, Regiunea NORD-EST, Anul 2016, Mii persoane, 1194.3
Total, Regiunea NORD-EST, Anul 2017, Mii persoane, 1190.6
Total, Bacau, Anul 1990, Mii persoane, 327.6
Total, Bacau, Anul 1991, Mii persoane, 322.2
Total, Bacau, Anul 1992, Mii persoane, 333.5
Total, Bacau, Anul 1993, Mii persoane, 329.9
Total, Bacau, Anul 1994, Mii persoane, 321.7
Total, Bacau, Anul 1995, Mii persoane, 319.4
Total, Bacau, Anul 1996, Mii persoane, 319.9
Total, Bacau, Anul 1997, Mii persoane, 312.9
Total, Bacau, Anul 1998, Mii persoane, 295
Total, Bacau, Anul 1999, Mii persoane, 276.4
Total, Bacau, Anul 2000, Mii persoane, 276
Total, Bacau, Anul 2001, Mii persoane, 275.6
Total, Bacau, Anul 2002, Mii persoane, 259.7
Total, Bacau, Anul 2003, Mii persoane, 252.3
Total, Bacau, Anul 2004, Mii persoane, 242.4
Total, Bacau, Anul 2005, Mii persoane, 239.9
Total, Bacau, Anul 2006, Mii persoane, 238
Total, Bacau, Anul 2007, Mii persoane, 235.6
Total, Bacau, Anul 2008, Mii persoane, 236.1
Total, Bacau, Anul 2009, Mii persoane, 235
Total, Bacau, Anul 2010, Mii persoane, 226.4
Total, Bacau, Anul 2011, Mii persoane, 222.1
Total, Bacau, Anul 2012, Mii persoane, 227.9
Total, Bacau, Anul 2013, Mii persoane, 224.4
Total, Bacau, Anul 2014, Mii persoane, 219
Total, Bacau, Anul 2015, Mii persoane, 215.5
Total, Bacau, Anul 2016, Mii persoane, 211.4
Total, Bacau, Anul 2017, Mii persoane, 211.7
Total, Botosani, Anul 1990, Mii persoane, 208.3
Total, Botosani, Anul 1991, Mii persoane, 213.5
Total, Botosani, Anul 1992, Mii persoane, 223.2
Total, Botosani, Anul 1993, Mii persoane, 233.8
Total, Botosani, Anul 1994, Mii persoane, 229
Total, Botosani, Anul 1995, Mii persoane, 211.4
Total, Botosani, Anul 1996, Mii persoane, 201.8
Total, Botosani, Anul 1997, Mii persoane, 200.5
Total, Botosani, Anul 1998, Mii persoane, 200
Total, Botosani, Anul 1999, Mii persoane, 212.6
Total, Botosani, Anul 2000, Mii persoane, 210.6
Total, Botosani, Anul 2001, Mii persoane, 195.2
Total, Botosani, Anul 2002, Mii persoane, 180.7
Total, Botosani, Anul 2003, Mii persoane, 171.4
Total, Botosani, Anul 2004, Mii persoane, 165.4
Total, Botosani, Anul 2005, Mii persoane, 163.4
Total, Botosani, Anul 2006, Mii persoane, 159.8
Total, Botosani, Anul 2007, Mii persoane, 159.9
Total, Botosani, Anul 2008, Mii persoane, 154.8
Total, Botosani, Anul 2009, Mii persoane, 156.9
Total, Botosani, Anul 2010, Mii persoane, 154.8
Total, Botosani, Anul 2011, Mii persoane, 152.7
Total, Botosani, Anul 2012, Mii persoane, 157.8
Total, Botosani, Anul 2013, Mii persoane, 156.9
Total, Botosani, Anul 2014, Mii persoane, 152.7
Total, Botosani, Anul 2015, Mii persoane, 146.6
Total, Botosani, Anul 2016, Mii persoane, 139.6
Total, Botosani, Anul 2017, Mii persoane, 136.6
Total, Iasi, Anul 1990, Mii persoane, 363.2
Total, Iasi, Anul 1991, Mii persoane, 380.6
Total, Iasi, Anul 1992, Mii persoane, 386.6
Total, Iasi, Anul 1993, Mii persoane, 381.5
Total, Iasi, Anul 1994, Mii persoane, 411.4
Total, Iasi, Anul 1995, Mii persoane, 392.5
Total, Iasi, Anul 1996, Mii persoane, 363.8
Total, Iasi, Anul 1997, Mii persoane, 341.9
Total, Iasi, Anul 1998, Mii persoane, 354.7
Total, Iasi, Anul 1999, Mii persoane, 353
Total, Iasi, Anul 2000, Mii persoane, 357
Total, Iasi, Anul 2001, Mii persoane, 349.1
Total, Iasi, Anul 2002, Mii persoane, 335.3
Total, Iasi, Anul 2003, Mii persoane, 329.5
Total, Iasi, Anul 2004, Mii persoane, 312.8
Total, Iasi, Anul 2005, Mii persoane, 319.5
Total, Iasi, Anul 2006, Mii persoane, 311.9
Total, Iasi, Anul 2007, Mii persoane, 315.3
Total, Iasi, Anul 2008, Mii persoane, 312.7
Total, Iasi, Anul 2009, Mii persoane, 309.2
Total, Iasi, Anul 2010, Mii persoane, 307.2
Total, Iasi, Anul 2011, Mii persoane, 296
Total, Iasi, Anul 2012, Mii persoane, 302.6
Total, Iasi, Anul 2013, Mii persoane, 301.4
Total, Iasi, Anul 2014, Mii persoane, 294.9
Total, Iasi, Anul 2015, Mii persoane, 290.4
Total, Iasi, Anul 2016, Mii persoane, 289.2
Total, Iasi, Anul 2017, Mii persoane, 294.7
Total, Neamt, Anul 1990, Mii persoane, 277.7
Total, Neamt, Anul 1991, Mii persoane, 288.5
Total, Neamt, Anul 1992, Mii persoane, 299.1
Total, Neamt, Anul 1993, Mii persoane, 295.4
Total, Neamt, Anul 1994, Mii persoane, 294.6
Total, Neamt, Anul 1995, Mii persoane, 284.5
Total, Neamt, Anul 1996, Mii persoane, 272.8
Total, Neamt, Anul 1997, Mii persoane, 266.4
Total, Neamt, Anul 1998, Mii persoane, 265.3
Total, Neamt, Anul 1999, Mii persoane, 265.7
Total, Neamt, Anul 2000, Mii persoane, 269.7
Total, Neamt, Anul 2001, Mii persoane, 260.2
Total, Neamt, Anul 2002, Mii persoane, 230.9
Total, Neamt, Anul 2003, Mii persoane, 220.9
Total, Neamt, Anul 2004, Mii persoane, 214.8
Total, Neamt, Anul 2005, Mii persoane, 212.8
Total, Neamt, Anul 2006, Mii persoane, 206.1
Total, Neamt, Anul 2007, Mii persoane, 204.2
Total, Neamt, Anul 2008, Mii persoane, 202
Total, Neamt, Anul 2009, Mii persoane, 204.4
Total, Neamt, Anul 2010, Mii persoane, 206.9
Total, Neamt, Anul 2011, Mii persoane, 196.8
Total, Neamt, Anul 2012, Mii persoane, 203.9
Total, Neamt, Anul 2013, Mii persoane, 200.7
Total, Neamt, Anul 2014, Mii persoane, 197.5
Total, Neamt, Anul 2015, Mii persoane, 190.3
Total, Neamt, Anul 2016, Mii persoane, 182.4
Total, Neamt, Anul 2017, Mii persoane, 180.5
Total, Suceava, Anul 1990, Mii persoane, 340
Total, Suceava, Anul 1991, Mii persoane, 339.7
Total, Suceava, Anul 1992, Mii persoane, 348.8
Total, Suceava, Anul 1993, Mii persoane, 335.7
Total, Suceava, Anul 1994, Mii persoane, 350.4
Total, Suceava, Anul 1995, Mii persoane, 322.8
Total, Suceava, Anul 1996, Mii persoane, 319.7
Total, Suceava, Anul 1997, Mii persoane, 318.6
Total, Suceava, Anul 1998, Mii persoane, 315.8
Total, Suceava, Anul 1999, Mii persoane, 316.3
Total, Suceava, Anul 2000, Mii persoane, 311.2
Total, Suceava, Anul 2001, Mii persoane, 296.9
Total, Suceava, Anul 2002, Mii persoane, 284
Total, Suceava, Anul 2003, Mii persoane, 273
Total, Suceava, Anul 2004, Mii persoane, 263.4
Total, Suceava, Anul 2005, Mii persoane, 259
Total, Suceava, Anul 2006, Mii persoane, 251
Total, Suceava, Anul 2007, Mii persoane, 253
Total, Suceava, Anul 2008, Mii persoane, 252.5
Total, Suceava, Anul 2009, Mii persoane, 254.1
Total, Suceava, Anul 2010, Mii persoane, 257.3
Total, Suceava, Anul 2011, Mii persoane, 244.6
Total, Suceava, Anul 2012, Mii persoane, 251.8
Total, Suceava, Anul 2013, Mii persoane, 249.8
Total, Suceava, Anul 2014, Mii persoane, 246.4
Total, Suceava, Anul 2015, Mii persoane, 237.7
Total, Suceava, Anul 2016, Mii persoane, 231.9
Total, Suceava, Anul 2017, Mii persoane, 229.5
Total, Vaslui, Anul 1990, Mii persoane, 202.4
Total, Vaslui, Anul 1991, Mii persoane, 218.6
Total, Vaslui, Anul 1992, Mii persoane, 221
Total, Vaslui, Anul 1993, Mii persoane, 237.5
Total, Vaslui, Anul 1994, Mii persoane, 243.5
Total, Vaslui, Anul 1995, Mii persoane, 202.8
Total, Vaslui, Anul 1996, Mii persoane, 195.6
Total, Vaslui, Anul 1997, Mii persoane, 204.3
Total, Vaslui, Anul 1998, Mii persoane, 204.5
Total, Vaslui, Anul 1999, Mii persoane, 202.2
Total, Vaslui, Anul 2000, Mii persoane, 198.2
Total, Vaslui, Anul 2001, Mii persoane, 191
Total, Vaslui, Anul 2002, Mii persoane, 177.1
Total, Vaslui, Anul 2003, Mii persoane, 171.1
Total, Vaslui, Anul 2004, Mii persoane, 160.7
Total, Vaslui, Anul 2005, Mii persoane, 163.3
Total, Vaslui, Anul 2006, Mii persoane, 162.3
Total, Vaslui, Anul 2007, Mii persoane, 161.5
Total, Vaslui, Anul 2008, Mii persoane, 161.3
Total, Vaslui, Anul 2009, Mii persoane, 162.6
Total, Vaslui, Anul 2010, Mii persoane, 156.9
Total, Vaslui, Anul 2011, Mii persoane, 153.8
Total, Vaslui, Anul 2012, Mii persoane, 158.9
Total, Vaslui, Anul 2013, Mii persoane, 155.8
Total, Vaslui, Anul 2014, Mii persoane, 152.6
Total, Vaslui, Anul 2015, Mii persoane, 146.7
Total, Vaslui, Anul 2016, Mii persoane, 139.8
Total, Vaslui, Anul 2017, Mii persoane, 137.6
Total, Regiunea SUD-EST, Anul 1990, Mii persoane, 1375.5
Total, Regiunea SUD-EST, Anul 1991, Mii persoane, 1432.9
Total, Regiunea SUD-EST, Anul 1992, Mii persoane, 1484.2
Total, Regiunea SUD-EST, Anul 1993, Mii persoane, 1456
Total, Regiunea SUD-EST, Anul 1994, Mii persoane, 1433.8
Total, Regiunea SUD-EST, Anul 1995, Mii persoane, 1367.9
Total, Regiunea SUD-EST, Anul 1996, Mii persoane, 1300.4
Total, Regiunea SUD-EST, Anul 1997, Mii persoane, 1273.7
Total, Regiunea SUD-EST, Anul 1998, Mii persoane, 1252.7
Total, Regiunea SUD-EST, Anul 1999, Mii persoane, 1237.6
Total, Regiunea SUD-EST, Anul 2000, Mii persoane, 1230.3
Total, Regiunea SUD-EST, Anul 2001, Mii persoane, 1187.5
Total, Regiunea SUD-EST, Anul 2002, Mii persoane, 1135.2
Total, Regiunea SUD-EST, Anul 2003, Mii persoane, 1111.9
Total, Regiunea SUD-EST, Anul 2004, Mii persoane, 1097.3
Total, Regiunea SUD-EST, Anul 2005, Mii persoane, 1098.6
Total, Regiunea SUD-EST, Anul 2006, Mii persoane, 1097
Total, Regiunea SUD-EST, Anul 2007, Mii persoane, 1105.1
Total, Regiunea SUD-EST, Anul 2008, Mii persoane, 1109.3
Total, Regiunea SUD-EST, Anul 2009, Mii persoane, 1104.1
Total, Regiunea SUD-EST, Anul 2010, Mii persoane, 1082.8
Total, Regiunea SUD-EST, Anul 2011, Mii persoane, 1050.7
Total, Regiunea SUD-EST, Anul 2012, Mii persoane, 1080.5
Total, Regiunea SUD-EST, Anul 2013, Mii persoane, 1076
Total, Regiunea SUD-EST, Anul 2014, Mii persoane, 1059.6
Total, Regiunea SUD-EST, Anul 2015, Mii persoane, 1037.9
Total, Regiunea SUD-EST, Anul 2016, Mii persoane, 1012.7
Total, Regiunea SUD-EST, Anul 2017, Mii persoane, 1006.1
Total, Braila, Anul 1990, Mii persoane, 183.2
Total, Braila, Anul 1991, Mii persoane, 188
Total, Braila, Anul 1992, Mii persoane, 197.4
Total, Braila, Anul 1993, Mii persoane, 183.9
Total, Braila, Anul 1994, Mii persoane, 186.1
Total, Braila, Anul 1995, Mii persoane, 170.8
Total, Braila, Anul 1996, Mii persoane, 162.9
Total, Braila, Anul 1997, Mii persoane, 156
Total, Braila, Anul 1998, Mii persoane, 161.1
Total, Braila, Anul 1999, Mii persoane, 157.1
Total, Braila, Anul 2000, Mii persoane, 170.3
Total, Braila, Anul 2001, Mii persoane, 146.7
Total, Braila, Anul 2002, Mii persoane, 141.8
Total, Braila, Anul 2003, Mii persoane, 135.8
Total, Braila, Anul 2004, Mii persoane, 133.4
Total, Braila, Anul 2005, Mii persoane, 135.3
Total, Braila, Anul 2006, Mii persoane, 135.2
Total, Braila, Anul 2007, Mii persoane, 137.5
Total, Braila, Anul 2008, Mii persoane, 138.3
Total, Braila, Anul 2009, Mii persoane, 138.2
Total, Braila, Anul 2010, Mii persoane, 134.8
Total, Braila, Anul 2011, Mii persoane, 130.6
Total, Braila, Anul 2012, Mii persoane, 132.4
Total, Braila, Anul 2013, Mii persoane, 131.5
Total, Braila, Anul 2014, Mii persoane, 129.2
Total, Braila, Anul 2015, Mii persoane, 126.8
Total, Braila, Anul 2016, Mii persoane, 124.4
Total, Braila, Anul 2017, Mii persoane, 125.6
Total, Buzau, Anul 1990, Mii persoane, 246.6
Total, Buzau, Anul 1991, Mii persoane, 259.2
Total, Buzau, Anul 1992, Mii persoane, 268.8
Total, Buzau, Anul 1993, Mii persoane, 271.7
Total, Buzau, Anul 1994, Mii persoane, 254.6
Total, Buzau, Anul 1995, Mii persoane, 226
Total, Buzau, Anul 1996, Mii persoane, 222.3
Total, Buzau, Anul 1997, Mii persoane, 230.1
Total, Buzau, Anul 1998, Mii persoane, 215.9
Total, Buzau, Anul 1999, Mii persoane, 223.9
Total, Buzau, Anul 2000, Mii persoane, 216
Total, Buzau, Anul 2001, Mii persoane, 218.1
Total, Buzau, Anul 2002, Mii persoane, 199.2
Total, Buzau, Anul 2003, Mii persoane, 200
Total, Buzau, Anul 2004, Mii persoane, 195
Total, Buzau, Anul 2005, Mii persoane, 194.9
Total, Buzau, Anul 2006, Mii persoane, 194.5
Total, Buzau, Anul 2007, Mii persoane, 192.5
Total, Buzau, Anul 2008, Mii persoane, 189.5
Total, Buzau, Anul 2009, Mii persoane, 191.5
Total, Buzau, Anul 2010, Mii persoane, 192.8
Total, Buzau, Anul 2011, Mii persoane, 188.4
Total, Buzau, Anul 2012, Mii persoane, 191.4
Total, Buzau, Anul 2013, Mii persoane, 191.9
Total, Buzau, Anul 2014, Mii persoane, 190.2
Total, Buzau, Anul 2015, Mii persoane, 184.7
Total, Buzau, Anul 2016, Mii persoane, 174.7
Total, Buzau, Anul 2017, Mii persoane, 173.1
Total, Constanta, Anul 1990, Mii persoane, 345.1
Total, Constanta, Anul 1991, Mii persoane, 371.5
Total, Constanta, Anul 1992, Mii persoane, 376.8
Total, Constanta, Anul 1993, Mii persoane, 378.8
Total, Constanta, Anul 1994, Mii persoane, 369.4
Total, Constanta, Anul 1995, Mii persoane, 343.2
Total, Constanta, Anul 1996, Mii persoane, 320.7
Total, Constanta, Anul 1997, Mii persoane, 332.6
Total, Constanta, Anul 1998, Mii persoane, 311.5
Total, Constanta, Anul 1999, Mii persoane, 311.6
Total, Constanta, Anul 2000, Mii persoane, 306.1
Total, Constanta, Anul 2001, Mii persoane, 303.9
Total, Constanta, Anul 2002, Mii persoane, 300.3
Total, Constanta, Anul 2003, Mii persoane, 296.8
Total, Constanta, Anul 2004, Mii persoane, 302.7
Total, Constanta, Anul 2005, Mii persoane, 303.9
Total, Constanta, Anul 2006, Mii persoane, 307.8
Total, Constanta, Anul 2007, Mii persoane, 313.7
Total, Constanta, Anul 2008, Mii persoane, 318.6
Total, Constanta, Anul 2009, Mii persoane, 315.9
Total, Constanta, Anul 2010, Mii persoane, 309.5
Total, Constanta, Anul 2011, Mii persoane, 300.4
Total, Constanta, Anul 2012, Mii persoane, 309
Total, Constanta, Anul 2013, Mii persoane, 308.6
Total, Constanta, Anul 2014, Mii persoane, 303.6
Total, Constanta, Anul 2015, Mii persoane, 300.1
Total, Constanta, Anul 2016, Mii persoane, 296.6
Total, Constanta, Anul 2017, Mii persoane, 293.4
Total, Galati, Anul 1990, Mii persoane, 291.6
Total, Galati, Anul 1991, Mii persoane, 303.6
Total, Galati, Anul 1992, Mii persoane, 317.5
Total, Galati, Anul 1993, Mii persoane, 305.5
Total, Galati, Anul 1994, Mii persoane, 308.6
Total, Galati, Anul 1995, Mii persoane, 306.7
Total, Galati, Anul 1996, Mii persoane, 290.1
Total, Galati, Anul 1997, Mii persoane, 282.3
Total, Galati, Anul 1998, Mii persoane, 288.9
Total, Galati, Anul 1999, Mii persoane, 276
Total, Galati, Anul 2000, Mii persoane, 265.7
Total, Galati, Anul 2001, Mii persoane, 253
Total, Galati, Anul 2002, Mii persoane, 242.4
Total, Galati, Anul 2003, Mii persoane, 229.1
Total, Galati, Anul 2004, Mii persoane, 226.4
Total, Galati, Anul 2005, Mii persoane, 222.9
Total, Galati, Anul 2006, Mii persoane, 218.8
Total, Galati, Anul 2007, Mii persoane, 219.1
Total, Galati, Anul 2008, Mii persoane, 220.8
Total, Galati, Anul 2009, Mii persoane, 216.4
Total, Galati, Anul 2010, Mii persoane, 204.9
Total, Galati, Anul 2011, Mii persoane, 197.6
Total, Galati, Anul 2012, Mii persoane, 204
Total, Galati, Anul 2013, Mii persoane, 205.1
Total, Galati, Anul 2014, Mii persoane, 202.7
Total, Galati, Anul 2015, Mii persoane, 198.4
Total, Galati, Anul 2016, Mii persoane, 194
Total, Galati, Anul 2017, Mii persoane, 192.2
Total, Tulcea, Anul 1990, Mii persoane, 127.3
Total, Tulcea, Anul 1991, Mii persoane, 124.3
Total, Tulcea, Anul 1992, Mii persoane, 129.8
Total, Tulcea, Anul 1993, Mii persoane, 121.9
Total, Tulcea, Anul 1994, Mii persoane, 125.1
Total, Tulcea, Anul 1995, Mii persoane, 125.9
Total, Tulcea, Anul 1996, Mii persoane, 119
Total, Tulcea, Anul 1997, Mii persoane, 105.8
Total, Tulcea, Anul 1998, Mii persoane, 109.7
Total, Tulcea, Anul 1999, Mii persoane, 103.9
Total, Tulcea, Anul 2000, Mii persoane, 105.3
Total, Tulcea, Anul 2001, Mii persoane, 102.4
Total, Tulcea, Anul 2002, Mii persoane, 95.5
Total, Tulcea, Anul 2003, Mii persoane, 97.7
Total, Tulcea, Anul 2004, Mii persoane, 91.9
Total, Tulcea, Anul 2005, Mii persoane, 93.1
Total, Tulcea, Anul 2006, Mii persoane, 92.2
Total, Tulcea, Anul 2007, Mii persoane, 91.6
Total, Tulcea, Anul 2008, Mii persoane, 90.8
Total, Tulcea, Anul 2009, Mii persoane, 90.6
Total, Tulcea, Anul 2010, Mii persoane, 87.2
Total, Tulcea, Anul 2011, Mii persoane, 84.9
Total, Tulcea, Anul 2012, Mii persoane, 89.7
Total, Tulcea, Anul 2013, Mii persoane, 88.1
Total, Tulcea, Anul 2014, Mii persoane, 87.3
Total, Tulcea, Anul 2015, Mii persoane, 85.6
Total, Tulcea, Anul 2016, Mii persoane, 84.1
Total, Tulcea, Anul 2017, Mii persoane, 84.5
Total, Vrancea, Anul 1990, Mii persoane, 181.7
Total, Vrancea, Anul 1991, Mii persoane, 186.3
Total, Vrancea, Anul 1992, Mii persoane, 193.9
Total, Vrancea, Anul 1993, Mii persoane, 194.2
Total, Vrancea, Anul 1994, Mii persoane, 190
Total, Vrancea, Anul 1995, Mii persoane, 195.3
Total, Vrancea, Anul 1996, Mii persoane, 185.4
Total, Vrancea, Anul 1997, Mii persoane, 166.9
Total, Vrancea, Anul 1998, Mii persoane, 165.6
Total, Vrancea, Anul 1999, Mii persoane, 165.1
Total, Vrancea, Anul 2000, Mii persoane, 166.9
Total, Vrancea, Anul 2001, Mii persoane, 163.4
Total, Vrancea, Anul 2002, Mii persoane, 156
Total, Vrancea, Anul 2003, Mii persoane, 152.5
Total, Vrancea, Anul 2004, Mii persoane, 147.9
Total, Vrancea, Anul 2005, Mii persoane, 148.5
Total, Vrancea, Anul 2006, Mii persoane, 148.5
Total, Vrancea, Anul 2007, Mii persoane, 150.7
Total, Vrancea, Anul 2008, Mii persoane, 151.3
Total, Vrancea, Anul 2009, Mii persoane, 151.5
Total, Vrancea, Anul 2010, Mii persoane, 153.6
Total, Vrancea, Anul 2011, Mii persoane, 148.8
Total, Vrancea, Anul 2012, Mii persoane, 154
Total, Vrancea, Anul 2013, Mii persoane, 150.8
Total, Vrancea, Anul 2014, Mii persoane, 146.6
Total, Vrancea, Anul 2015, Mii persoane, 142.3
Total, Vrancea, Anul 2016, Mii persoane, 138.9
Total, Vrancea, Anul 2017, Mii persoane, 137.3
Total, MACROREGIUNEA TREI, Anul 1990, Mii persoane, 2787.5
Total, MACROREGIUNEA TREI, Anul 1991, Mii persoane, 2890
Total, MACROREGIUNEA TREI, Anul 1992, Mii persoane, 2977.1
Total, MACROREGIUNEA TREI, Anul 1993, Mii persoane, 2903.1
Total, MACROREGIUNEA TREI, Anul 1994, Mii persoane, 2851.8
Total, MACROREGIUNEA TREI, Anul 1995, Mii persoane, 2618.7
Total, MACROREGIUNEA TREI, Anul 1996, Mii persoane, 2466.9
Total, MACROREGIUNEA TREI, Anul 1997, Mii persoane, 2421.7
Total, MACROREGIUNEA TREI, Anul 1998, Mii persoane, 2410
Total, MACROREGIUNEA TREI, Anul 1999, Mii persoane, 2243.1
Total, MACROREGIUNEA TREI, Anul 2000, Mii persoane, 2322.4
Total, MACROREGIUNEA TREI, Anul 2001, Mii persoane, 2280.2
Total, MACROREGIUNEA TREI, Anul 2002, Mii persoane, 2282.2
Total, MACROREGIUNEA TREI, Anul 2003, Mii persoane, 2288.7
Total, MACROREGIUNEA TREI, Anul 2004, Mii persoane, 2286.7
Total, MACROREGIUNEA TREI, Anul 2005, Mii persoane, 2369.9
Total, MACROREGIUNEA TREI, Anul 2006, Mii persoane, 2421.2
Total, MACROREGIUNEA TREI, Anul 2007, Mii persoane, 2512.4
Total, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 2568.6
Total, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 2530.7
Total, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 2510
Total, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 2483.6
Total, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 2534.5
Total, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 2545.8
Total, MACROREGIUNEA TREI, Anul 2014, Mii persoane, 2514.9
Total, MACROREGIUNEA TREI, Anul 2015, Mii persoane, 2494.7
Total, MACROREGIUNEA TREI, Anul 2016, Mii persoane, 2550.9
Total, MACROREGIUNEA TREI, Anul 2017, Mii persoane, 2548.1
Total, Regiunea SUD-MUNTENIA, Anul 1990, Mii persoane, 1627.4
Total, Regiunea SUD-MUNTENIA, Anul 1991, Mii persoane, 1652.2
Total, Regiunea SUD-MUNTENIA, Anul 1992, Mii persoane, 1715.3
Total, Regiunea SUD-MUNTENIA, Anul 1993, Mii persoane, 1736.4
Total, Regiunea SUD-MUNTENIA, Anul 1994, Mii persoane, 1694.1
Total, Regiunea SUD-MUNTENIA, Anul 1995, Mii persoane, 1583.5
Total, Regiunea SUD-MUNTENIA, Anul 1996, Mii persoane, 1524.1
Total, Regiunea SUD-MUNTENIA, Anul 1997, Mii persoane, 1505.1
Total, Regiunea SUD-MUNTENIA, Anul 1998, Mii persoane, 1484.4
Total, Regiunea SUD-MUNTENIA, Anul 1999, Mii persoane, 1467.9
Total, Regiunea SUD-MUNTENIA, Anul 2000, Mii persoane, 1444.4
Total, Regiunea SUD-MUNTENIA, Anul 2001, Mii persoane, 1393.9
Total, Regiunea SUD-MUNTENIA, Anul 2002, Mii persoane, 1345.2
Total, Regiunea SUD-MUNTENIA, Anul 2003, Mii persoane, 1317.1
Total, Regiunea SUD-MUNTENIA, Anul 2004, Mii persoane, 1277.7
Total, Regiunea SUD-MUNTENIA, Anul 2005, Mii persoane, 1282
Total, Regiunea SUD-MUNTENIA, Anul 2006, Mii persoane, 1265.7
Total, Regiunea SUD-MUNTENIA, Anul 2007, Mii persoane, 1280.3
Total, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 1266.5
Total, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 1280.3
